DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

2, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 55.0, 35.0, 50.0, 50.0
4, 60.0, 50.0, 57.5, 50.0
2, 50.0, 42.5, 50.0, 50.0
4, 60.0, 50.0, 57.5, 50.0
3, 50.0, 42.5, 50.0, 50.0
5, 65.0, 72.5, 72.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 55.0, 50.0, 57.5, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 50.0, 42.5, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 50.0, 27.5, 50.0, 50.0
6, 55.0, 42.5, 57.5, 50.0
3, 55.0, 42.5, 50.0, 50.0
4, 55.0, 57.5, 57.5, 50.0
4, 55.0, 42.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 55.0, 35.0, 50.0, 50.0
3, 55.0, 35.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
2, 55.0, 35.0, 50.0, 50.0
5, 55.0, 50.0, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
2, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 55.0, 57.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 35.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 42.5, 50.0, 50.0
2, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 50.0, 57.5, 50.0
2, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
4, 50.0, 35.0, 50.0, 50.0
4, 50.0, 42.5, 50.0, 50.0
4, 55.0, 42.5, 50.0, 50.0
4, 50.0, 42.5, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
4, 55.0, 35.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 42.5, 50.0, 50.0
3, 55.0, 42.5, 50.0, 50.0
4, 55.0, 42.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 57.5, 57.5, 50.0
3, 55.0, 35.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
3, 55.0, 42.5, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 55.0, 50.0, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
4, 55.0, 57.5, 57.5, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 42.5, 50.0, 50.0
5, 60.0, 42.5, 57.5, 50.0
4, 50.0, 35.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
3, 50.0, 50.0, 50.0, 50.0
2, 55.0, 57.5, 57.5, 50.0
3, 50.0, 42.5, 50.0, 50.0
